block_id,kernel,log_loss,matching,target_delay_s,task,top1_accuracy,trials,centre_s,separation_s
0,post_peak_decay_matched_exponential,0.9076239270742177,unit_l1,2.5,four_event_interval_attribution,0.9375,64,,
1,post_peak_decay_matched_exponential,1.0549730734035325,unit_l1,7.5,four_event_interval_attribution,0.734375,64,,
2,post_peak_decay_matched_exponential,1.2473537288730714,unit_l1,12.5,four_event_interval_attribution,0.4375,64,,
3,post_peak_decay_matched_exponential,1.3524847951419625,unit_l1,17.5,four_event_interval_attribution,0.328125,64,,
4,post_peak_decay_matched_exponential,1.4197496137793584,unit_l1,22.5,four_event_interval_attribution,0.328125,64,,
5,post_peak_decay_matched_exponential,1.4797894205352253,unit_l1,27.5,four_event_interval_attribution,0.140625,64,,
6,post_peak_decay_matched_exponential,1.596117156411783,unit_l1,35.0,four_event_interval_attribution,0.03125,64,,
7,post_peak_decay_matched_exponential,1.6147053768141824,unit_l1,45.0,four_event_interval_attribution,0.0,64,,
0,post_peak_decay_matched_exponential,0.0,unit_l1,,two_cue_temporal_order,1.0,64,10.0,2.0
1,post_peak_decay_matched_exponential,0.0,unit_l1,,two_cue_temporal_order,1.0,64,10.0,6.0
2,post_peak_decay_matched_exponential,0.0,unit_l1,,two_cue_temporal_order,1.0,64,10.0,10.0
3,post_peak_decay_matched_exponential,0.0,unit_l1,,two_cue_temporal_order,1.0,64,20.0,2.0
4,post_peak_decay_matched_exponential,0.0,unit_l1,,two_cue_temporal_order,1.0,64,20.0,6.0
5,post_peak_decay_matched_exponential,0.0,unit_l1,,two_cue_temporal_order,1.0,64,20.0,10.0
6,post_peak_decay_matched_exponential,6.175615574477443e-16,unit_l1,,two_cue_temporal_order,1.0,64,30.0,2.0
7,post_peak_decay_matched_exponential,0.0,unit_l1,,two_cue_temporal_order,1.0,64,30.0,6.0
8,post_peak_decay_matched_exponential,0.0,unit_l1,,two_cue_temporal_order,1.0,64,30.0,10.0
9,post_peak_decay_matched_exponential,1.6673310317530647e-09,unit_l1,,two_cue_temporal_order,1.0,64,40.0,2.0
10,post_peak_decay_matched_exponential,0.0,unit_l1,,two_cue_temporal_order,1.0,64,40.0,6.0
11,post_peak_decay_matched_exponential,0.0,unit_l1,,two_cue_temporal_order,1.0,64,40.0,10.0
0,physical_headroom_v1,1.8621657965905454,pilot_rms,2.5,four_event_interval_attribution,0.0,64,,
1,physical_headroom_v1,1.4512951486361807,pilot_rms,7.5,four_event_interval_attribution,0.078125,64,,
2,physical_headroom_v1,1.180421716995856,pilot_rms,12.5,four_event_interval_attribution,0.375,64,,
3,physical_headroom_v1,1.0564350906856754,pilot_rms,17.5,four_event_interval_attribution,0.921875,64,,
4,physical_headroom_v1,1.0378789427557742,pilot_rms,22.5,four_event_interval_attribution,0.890625,64,,
5,physical_headroom_v1,1.1348377082376777,pilot_rms,27.5,four_event_interval_attribution,0.59375,64,,
6,physical_headroom_v1,1.3315723771822272,pilot_rms,35.0,four_event_interval_attribution,0.1875,64,,
7,physical_headroom_v1,1.5742677105729306,pilot_rms,45.0,four_event_interval_attribution,0.046875,64,,
0,physical_headroom_v1,0.6630175293292493,pilot_rms,,two_cue_temporal_order,0.46875,64,10.0,2.0
1,physical_headroom_v1,0.6027116457231604,pilot_rms,,two_cue_temporal_order,1.0,64,10.0,6.0
2,physical_headroom_v1,0.5403944801095549,pilot_rms,,two_cue_temporal_order,1.0,64,10.0,10.0
3,physical_headroom_v1,0.7034786333293243,pilot_rms,,two_cue_temporal_order,0.4375,64,20.0,2.0
4,physical_headroom_v1,0.6874276089181324,pilot_rms,,two_cue_temporal_order,0.59375,64,20.0,6.0
5,physical_headroom_v1,0.6968223360370027,pilot_rms,,two_cue_temporal_order,0.5,64,20.0,10.0
6,physical_headroom_v1,0.7270707627366946,pilot_rms,,two_cue_temporal_order,0.34375,64,30.0,2.0
7,physical_headroom_v1,0.7510347408742052,pilot_rms,,two_cue_temporal_order,0.390625,64,30.0,6.0
8,physical_headroom_v1,0.7561275893281992,pilot_rms,,two_cue_temporal_order,0.0,64,30.0,10.0
9,physical_headroom_v1,0.7034415459192749,pilot_rms,,two_cue_temporal_order,0.546875,64,40.0,2.0
10,physical_headroom_v1,0.742933702846195,pilot_rms,,two_cue_temporal_order,0.453125,64,40.0,6.0
11,physical_headroom_v1,0.77006848517572,pilot_rms,,two_cue_temporal_order,0.0,64,40.0,10.0
0,linear_erlang_v1,1.1691872113264643,pilot_rms,2.5,four_event_interval_attribution,0.65625,64,,
