condition,seed,eta,aulc,final_reward
device,1016,100.0,0.05,0.07
device,1017,100.0,0.06666666666666667,0.03
device,1018,100.0,0.056666666666666664,0.04
device,1019,100.0,0.05333333333333334,0.07
linear_device,1000,0.0001,0.06,0.08
linear_device,1001,0.0001,0.1,0.08
linear_device,1002,0.0001,0.06666666666666667,0.06
linear_device,1003,0.0001,0.09333333333333334,0.09
linear_device,1004,0.0001,0.07666666666666666,0.1
linear_device,1005,0.0001,0.07666666666666666,0.1
linear_device,1006,0.0001,0.08,0.12
linear_device,1007,0.0001,0.07333333333333333,0.07
linear_device,1008,0.0001,0.06,0.08
linear_device,1009,0.0001,0.04666666666666667,0.05
linear_device,1010,0.0001,0.06666666666666667,0.05
linear_device,1011,0.0001,0.07333333333333333,0.07
