cascade_depth,drive_amplitude,duration_s,linear_finite_pulse_peak_s,linear_impulse_peak_s,linear_numerical_peak_s,linear_peak_relative_error,physical_numerical_peak_s,physical_peak_occupancy_fraction,physical_peak_relative_departure,physical_small_signal_peak_s,rho_alpha_tau_leak,tau_leak_s,tau_r_s,v_max,v_max_shape_invariance,voltage_v
3,1.0,0.05,3.066741752898352,3.0416732602045746,3.06,0.0021983438585855557,4.01,0.0077737369164053455,0.0024999999999999467,4.0,0.31506564243227475,2.0,19.0436505665315,1.0,True,0.7
3,1.0,0.05,3.066741752898352,3.0416732602045746,3.06,0.0021983438585855557,4.01,0.0077737369164053455,0.0024999999999999467,4.0,0.31506564243227475,2.0,19.0436505665315,2.0,True,0.7
3,1.0,0.3,3.194138608602504,3.0416732602045746,3.18,0.004426423000061929,4.14,0.04301864461797556,0.03499999999999992,4.0,0.31506564243227475,2.0,19.0436505665315,0.5,True,0.7
3,1.0,0.3,3.194138608602504,3.0416732602045746,3.18,0.004426423000061929,4.14,0.04301864461797556,0.03499999999999992,4.0,0.31506564243227475,2.0,19.0436505665315,1.0,True,0.7
3,1.0,0.3,3.194138608602504,3.0416732602045746,3.18,0.004426423000061929,4.14,0.04301864461797556,0.03499999999999992,4.0,0.31506564243227475,2.0,19.0436505665315,2.0,True,0.7
4,1.0,0.05,4.250141003037719,4.225091694558296,4.24,0.0023860391997513404,6.01,0.010354103025394813,0.0016666666666666312,6.0,0.420087523243033,2.0,19.0436505665315,0.5,True,0.7
4,1.0,0.05,4.250141003037719,4.225091694558296,4.24,0.0023860391997513404,6.01,0.010354103025394813,0.0016666666666666312,6.0,0.420087523243033,2.0,19.0436505665315,1.0,True,0.7
4,1.0,0.05,4.250141003037719,4.225091694558296,4.24,0.0023860391997513404,6.01,0.010354103025394813,0.0016666666666666312,6.0,0.420087523243033,2.0,19.0436505665315,2.0,True,0.7
4,1.0,0.3,4.376866654823083,4.225091694558296,4.37,0.0015688517299277925,6.140000000000001,0.05693559807348817,0.023333333333333428,6.0,0.420087523243033,2.0,19.0436505665315,0.5,True,0.7
4,1.0,0.3,4.376866654823083,4.225091694558296,4.37,0.0015688517299277925,6.140000000000001,0.05693559807348817,0.023333333333333428,6.0,0.420087523243033,2.0,19.0436505665315,1.0,True,0.7
4,1.0,0.3,4.376866654823083,4.225091694558296,4.37,0.0015688517299277925,6.140000000000001,0.05693559807348817,0.023333333333333428,6.0,0.420087523243033,2.0,19.0436505665315,2.0,True,0.7
2,1.0,0.05,3.3035168731367817,3.27845332715793,3.29,0.004091661600610193,5.01,0.005219157630620958,0.0019999999999999575,5.0,0.5251094040537913,5.0,19.0436505665315,0.5,True,0.7
2,1.0,0.05,3.3035168731367817,3.27845332715793,3.29,0.004091661600610193,5.01,0.005219157630620958,0.0019999999999999575,5.0,0.5251094040537913,5.0,19.0436505665315,1.0,True,0.7
2,1.0,0.05,3.3035168731367817,3.27845332715793,3.29,0.004091661600610193,5.01,0.005219157630620958,0.0019999999999999575,5.0,0.5251094040537913,5.0,19.0436505665315,2.0,True,0.7
2,1.0,0.3,3.43074067206692,3.27845332715793,3.42,0.00313071522845507,5.13,0.030151953007729847,0.025999999999999978,5.0,0.5251094040537913,5.0,19.0436505665315,0.5,True,0.7
2,1.0,0.3,3.43074067206692,3.27845332715793,3.42,0.00313071522845507,5.13,0.030151953007729847,0.025999999999999978,5.0,0.5251094040537913,5.0,19.0436505665315,1.0,True,0.7
2,1.0,0.3,3.43074067206692,3.27845332715793,3.42,0.00313071522845507,5.13,0.030151953007729847,0.025999999999999978,5.0,0.5251094040537913,5.0,19.0436505665315,2.0,True,0.7
3,1.0,0.05,5.618929275569605,5.593892032616918,5.61,0.0015891418332008589,10.01,0.007820518920833602,0.0009999999999999788,10.0,0.7876641060806868,5.0,19.0436505665315,0.5,True,0.7
3,1.0,0.05,5.618929275569605,5.593892032616918,5.61,0.0015891418332008589,10.01,0.007820518920833602,0.0009999999999999788,10.0,0.7876641060806868,5.0,19.0436505665315,1.0,True,0.7
3,1.0,0.05,5.618929275569605,5.593892032616918,5.61,0.0015891418332008589,10.01,0.007820518920833602,0.0009999999999999788,10.0,0.7876641060806868,5.0,19.0436505665315,2.0,True,0.7
